                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76405,                 1.5412,                 1.6555,                 1.0287,                0.89482,                0.67401,                0.80003,                0.64448,                0.89866,                0.67734,                0.80048,                0.60047,                0.58354,                0.84958,                0.76565,                0.79397,             0.00025537,             0.00025537,             0.00025537
                      2,                0.63423,                 1.0293,                0.71225,                0.96745,                0.89814,                 0.8604,                0.92957,                0.75808,                0.89946,                 0.8604,                0.92959,                0.69078,                0.55189,                0.86044,                0.54708,                0.76726,             0.00050664,             0.00050664,             0.00050664
                      3,                0.60675,                0.94938,                0.61955,                0.94825,                0.91832,                0.96414,                0.96513,                0.78768,                0.92076,                0.96581,                0.97339,                 0.7035,                0.56412,                0.82715,                0.50838,                0.74872,             0.00075283,             0.00075283,             0.00075283
                      4,                0.59873,                0.93133,                0.57965,                0.94398,                0.93884,                0.95849,                0.96458,                0.79112,                 0.9379,                0.96248,                0.96203,                0.73258,                0.53973,                0.77068,                0.50087,                0.76912,             0.00074616,             0.00074616,             0.00074616
                      5,                0.57329,                 0.8923,                0.53562,                0.93416,                0.94523,                0.94929,                0.96265,                0.77015,                0.94554,                0.94929,                0.96218,                0.72908,                0.54635,                0.86395,                0.46277,                0.77242,             0.00073855,             0.00073855,             0.00073855
                      6,                0.55863,                0.88045,                0.50717,                0.93105,                0.93827,                0.95826,                0.95959,                0.77334,                 0.9448,                0.96629,                0.96874,                0.75209,                0.54456,                0.72249,                0.46268,                0.75906,             0.00073093,             0.00073093,             0.00073093
                      7,                0.54721,                 0.8413,                0.48182,                0.92917,                0.95462,                0.94675,                0.96465,                0.80309,                0.95283,                0.94922,                0.96405,                0.74046,                0.50134,                0.68334,                0.47082,                0.75703,             0.00072332,             0.00072332,             0.00072332
                      8,                0.52181,                0.82816,                0.45543,                0.91861,                0.95728,                0.95609,                0.96618,                0.82656,                0.96045,                 0.9626,                0.97284,                 0.7423,                0.44622,                0.69886,                0.40748,                0.73992,             0.00071571,             0.00071571,             0.00071571
                      9,                0.51795,                0.79324,                0.44601,                0.91895,                0.95223,                0.95212,                0.95995,                0.81195,                0.96206,                 0.9611,                0.97089,                0.76416,                  0.496,                0.68835,                0.41886,                0.75261,              0.0007081,              0.0007081,              0.0007081
                     10,                0.51896,                0.81109,                0.44027,                0.91928,                 0.9322,                0.95455,                0.96814,                0.82197,                0.92111,                0.96196,                0.96566,                0.75788,                0.47954,                0.66651,                0.39056,                0.73803,             0.00070048,             0.00070048,             0.00070048
